snapshot_num,timestamp_s,camera,queue_size,flow_rate_per_min,throughput_per_hr,avg_clearance_s,avg_baggage_per_pax,total_bags,total_specials
0,0.05,Gate A,4,0.0,240.0,0.0,0.25,1,0
0,0.05,Security,3,0.0,180.0,0.0,0.33,1,0
0,0.05,Arrivals Hall,4,0.0,240.0,0.0,0.25,1,0
0,0.05,Departures,4,0.0,240.0,0.0,0.25,1,0
0,0.05,TERMINAL,15,0.0,900.0,0.0,0.27,4,0
1,10.18,Gate A,2,1.0,240.0,5.4,0.5,1,0
1,10.18,Security,2,1.0,180.0,5.4,0.5,1,0
1,10.18,Arrivals Hall,2,1.0,240.0,5.4,0.5,1,0
1,10.18,Departures,2,1.0,240.0,5.4,0.5,1,0
1,10.18,TERMINAL,8,4.0,900.0,5.4,0.5,4,0
2,18.54,Gate A,3,2.0,360.0,7.8,0.0,0,0
2,18.54,Security,3,2.0,300.0,7.8,0.0,0,0
2,18.54,Arrivals Hall,3,2.0,360.0,7.8,0.0,0,0
2,18.54,Departures,3,2.0,360.0,7.8,0.0,0,0
2,18.54,TERMINAL,12,8.0,1380.0,7.8,0.0,0,0
3,26.94,Gate A,2,2.0,360.0,7.8,0.5,1,0
3,26.94,Security,2,2.0,300.0,7.8,0.5,1,0
3,26.94,Arrivals Hall,2,2.0,360.0,7.8,0.5,1,0
3,26.94,Departures,2,2.0,360.0,7.8,0.5,1,0
3,26.94,TERMINAL,8,8.0,1380.0,7.8,0.5,4,0
4,35.95,Gate A,7,4.0,420.0,14.9,0.29,2,0
4,35.95,Security,5,4.0,360.0,14.9,0.4,2,0
4,35.95,Arrivals Hall,7,4.0,420.0,14.9,0.29,2,0
4,35.95,Departures,7,4.0,420.0,14.9,0.29,2,0
4,35.95,TERMINAL,26,16.0,1620.0,14.9,0.31,8,0
0,4.18,Gate A,3,0.0,240.0,0.0,0.33,1,0
0,4.18,Security,3,0.0,180.0,0.0,0.33,1,0
0,4.18,Arrivals Hall,3,0.0,240.0,0.0,0.33,1,0
0,4.18,Departures,3,0.0,240.0,0.0,0.33,1,0
0,4.18,TERMINAL,12,0.0,900.0,0.0,0.33,4,0
1,10.74,Gate A,2,2.0,300.0,5.8,0.5,1,0
1,10.74,Security,2,2.0,240.0,5.8,0.5,1,0
1,10.74,Arrivals Hall,2,2.0,300.0,5.8,0.5,1,0
1,10.74,Departures,2,2.0,300.0,5.8,0.5,1,0
1,10.74,TERMINAL,8,8.0,1140.0,5.8,0.5,4,0
2,16.7,Gate A,2,2.0,360.0,5.8,0.0,0,0
2,16.7,Security,2,2.0,300.0,5.8,0.0,0,0
2,16.7,Arrivals Hall,2,2.0,360.0,5.8,0.0,0,0
2,16.7,Departures,2,2.0,360.0,5.8,0.0,0,0
2,16.7,TERMINAL,8,8.0,1380.0,5.8,0.0,0,0
3,22.76,Gate A,1,3.0,360.0,10.4,2.0,2,0
3,22.76,Security,1,3.0,300.0,10.4,2.0,2,0
3,22.76,Arrivals Hall,1,3.0,360.0,10.4,2.0,2,0
3,22.76,Departures,1,3.0,360.0,10.4,2.0,2,0
3,22.76,TERMINAL,4,12.0,1380.0,10.4,2.0,8,0
4,28.69,Gate A,4,4.0,420.0,10.8,0.25,1,0
4,28.69,Security,4,4.0,360.0,10.8,0.25,1,0
4,28.69,Arrivals Hall,4,4.0,420.0,10.8,0.25,1,0
4,28.69,Departures,4,4.0,420.0,10.8,0.25,1,0
4,28.69,TERMINAL,16,16.0,1620.0,10.8,0.25,4,0
5,34.82,Gate A,5,4.0,420.0,10.8,0.2,1,0
5,34.82,Security,4,4.0,360.0,10.8,0.25,1,0
5,34.82,Arrivals Hall,5,4.0,420.0,10.8,0.2,1,0
5,34.82,Departures,5,4.0,420.0,10.8,0.2,1,0
5,34.82,TERMINAL,19,16.0,1620.0,10.8,0.21,4,0
6,40.78,Gate A,5,4.0,420.0,10.8,0.2,1,0
6,40.78,Security,5,4.0,360.0,10.8,0.2,1,0
6,40.78,Arrivals Hall,5,4.0,420.0,10.8,0.2,1,0
6,40.78,Departures,5,4.0,420.0,10.8,0.2,1,0
6,40.78,TERMINAL,20,16.0,1620.0,10.8,0.2,4,0
0,0.09,Gate A,4,0.0,240.0,0.0,0.25,1,0
0,0.09,Security,3,0.0,180.0,0.0,0.33,1,0
0,0.09,Arrivals Hall,4,0.0,240.0,0.0,0.25,1,0
0,0.09,Departures,4,0.0,240.0,0.0,0.25,1,0
0,0.09,TERMINAL,15,0.0,900.0,0.0,0.27,4,0
1,10.64,Gate A,3,0.0,240.0,0.0,0.33,1,0
1,10.64,Security,3,0.0,180.0,0.0,0.33,1,0
1,10.64,Arrivals Hall,3,0.0,240.0,0.0,0.33,1,0
1,10.64,Departures,3,0.0,240.0,0.0,0.33,1,0
1,10.64,TERMINAL,12,0.0,900.0,0.0,0.33,4,0
2,23.71,Gate A,2,1.0,240.0,10.6,0.5,1,0
2,23.71,Security,2,1.0,180.0,10.6,0.5,1,0
2,23.71,Arrivals Hall,2,1.0,240.0,10.6,0.5,1,0
2,23.71,Departures,2,1.0,240.0,10.6,0.5,1,0
2,23.71,TERMINAL,8,4.0,900.0,10.6,0.5,4,0
3,33.73,Gate A,2,2.0,300.0,17.1,0.5,1,0
3,33.73,Security,2,2.0,240.0,17.1,0.5,1,0
3,33.73,Arrivals Hall,2,2.0,300.0,17.1,0.5,1,0
3,33.73,Departures,2,2.0,300.0,17.1,0.5,1,0
3,33.73,TERMINAL,8,8.0,1140.0,17.1,0.5,4,0
4,52.21,Gate A,3,2.0,360.0,17.1,0.0,0,0
4,52.21,Security,3,2.0,300.0,17.1,0.0,0,0
4,52.21,Arrivals Hall,3,2.0,360.0,17.1,0.0,0,0
4,52.21,Departures,3,2.0,360.0,17.1,0.0,0,0
4,52.21,TERMINAL,12,8.0,1380.0,17.1,0.0,0,0
5,73.13,Gate A,2,2.0,120.0,17.1,0.5,1,0
5,73.13,Security,2,2.0,120.0,17.1,0.5,1,0
5,73.13,Arrivals Hall,2,2.0,120.0,17.1,0.5,1,0
5,73.13,Departures,2,2.0,120.0,17.1,0.5,1,0
5,73.13,TERMINAL,8,8.0,480.0,17.1,0.5,4,0
6,77.73,Gate A,1,3.0,120.0,35.7,2.0,2,0
6,77.73,Security,1,3.0,120.0,35.7,2.0,2,0
6,77.73,Arrivals Hall,1,3.0,120.0,35.7,2.0,2,0
6,77.73,Departures,1,3.0,120.0,35.7,2.0,2,0
6,77.73,TERMINAL,4,12.0,480.0,35.7,2.0,8,0
7,94.05,Gate A,7,2.0,120.0,37.8,0.29,2,0
7,94.05,Security,5,2.0,120.0,37.8,0.4,2,0
7,94.05,Arrivals Hall,7,2.0,120.0,37.8,0.29,2,0
7,94.05,Departures,7,2.0,120.0,37.8,0.29,2,0
7,94.05,TERMINAL,26,8.0,480.0,37.8,0.31,8,0
0,0.54,Gate A,10,0.0,600.0,0.0,0.3,3,2
0,0.54,Security,10,0.0,60.0,0.0,0.0,0,0
0,0.54,Arrivals Hall,6,0.0,60.0,0.0,0.0,0,0
0,0.54,Departures,4,0.0,240.0,0.0,1.25,5,0
0,0.54,TERMINAL,30,0.0,960.0,0.0,0.27,8,2
1,10.33,Gate A,7,1.0,600.0,5.3,0.43,3,0
1,10.33,Security,7,0.0,60.0,0.0,0.0,0,0
1,10.33,Arrivals Hall,1,1.0,120.0,5.3,1.0,1,0
1,10.33,Departures,2,1.0,300.0,5.3,2.5,5,0
1,10.33,TERMINAL,17,3.0,1080.0,3.1,0.53,9,0
2,18.56,Gate A,5,3.0,660.0,11.1,0.2,1,1
2,18.56,Security,6,0.0,60.0,0.0,0.0,0,0
2,18.56,Arrivals Hall,4,1.0,180.0,5.3,0.0,0,0
2,18.56,Departures,2,2.0,360.0,9.7,2.5,5,0
2,18.56,TERMINAL,17,6.0,1260.0,5.7,0.35,6,1
3,27.04,Gate A,5,5.0,780.0,14.8,0.2,1,2
3,27.04,Security,9,0.0,60.0,0.0,0.0,0,0
3,27.04,Arrivals Hall,1,1.0,180.0,5.3,0.0,0,0
3,27.04,Departures,3,2.0,420.0,9.7,0.33,1,0
3,27.04,TERMINAL,18,8.0,1440.0,6.0,0.11,2,2
4,35.36,Gate A,4,6.0,780.0,13.7,0.25,1,2
4,35.36,Security,6,0.0,60.0,0.0,0.0,0,0
4,35.36,Arrivals Hall,2,1.0,180.0,5.3,0.5,1,0
4,35.36,Departures,2,3.0,420.0,15.3,0.5,1,0
4,35.36,TERMINAL,14,10.0,1440.0,6.9,0.21,3,2
5,43.54,Gate A,4,6.0,780.0,13.7,0.25,1,2
5,43.54,Security,5,0.0,60.0,0.0,0.0,0,0
5,43.54,Arrivals Hall,4,1.0,180.0,5.3,0.25,1,0
5,43.54,Departures,2,3.0,420.0,15.3,0.5,1,0
5,43.54,TERMINAL,15,10.0,1440.0,7.1,0.2,3,2
6,51.67,Gate A,4,6.0,780.0,13.7,0.25,1,2
6,51.67,Security,8,0.0,60.0,0.0,0.0,0,0
6,51.67,Arrivals Hall,2,1.0,180.0,5.3,0.5,1,0
6,51.67,Departures,2,3.0,420.0,15.3,0.5,1,0
6,51.67,TERMINAL,16,10.0,1440.0,6.0,0.19,3,2
7,60.08,Gate A,2,8.0,780.0,23.6,0.5,1,1
7,60.08,Security,11,0.0,60.0,0.0,0.0,0,0
7,60.08,Arrivals Hall,1,2.0,240.0,23.2,1.0,1,0
7,60.08,Departures,2,3.0,420.0,15.3,0.5,1,0
7,60.08,TERMINAL,16,13.0,1500.0,6.3,0.19,3,1
8,68.46,Gate A,2,8.0,180.0,23.6,0.5,1,1
8,68.46,Security,8,0.0,0.0,0.0,0.0,0,1
8,68.46,Arrivals Hall,5,2.0,240.0,23.2,0.2,1,0
8,68.46,Departures,2,3.0,120.0,15.3,0.5,1,0
8,68.46,TERMINAL,17,13.0,540.0,11.4,0.18,3,2
