snapshot_num,timestamp_s,camera,queue_size,flow_rate_per_min,throughput_per_hr,avg_clearance_s,avg_baggage_per_pax,total_bags,total_specials
0,0.05,Gate A,4,0.0,240.0,0.0,0.25,1,0
0,0.05,Security,3,0.0,180.0,0.0,0.33,1,0
0,0.05,Arrivals Hall,4,0.0,240.0,0.0,0.25,1,0
0,0.05,Departures,4,0.0,240.0,0.0,0.25,1,0
0,0.05,TERMINAL,15,0.0,900.0,0.0,0.27,4,0
1,10.18,Gate A,2,1.0,240.0,5.4,0.5,1,0
1,10.18,Security,2,1.0,180.0,5.4,0.5,1,0
1,10.18,Arrivals Hall,2,1.0,240.0,5.4,0.5,1,0
1,10.18,Departures,2,1.0,240.0,5.4,0.5,1,0
1,10.18,TERMINAL,8,4.0,900.0,5.4,0.5,4,0
2,18.54,Gate A,3,2.0,360.0,7.8,0.0,0,0
2,18.54,Security,3,2.0,300.0,7.8,0.0,0,0
2,18.54,Arrivals Hall,3,2.0,360.0,7.8,0.0,0,0
2,18.54,Departures,3,2.0,360.0,7.8,0.0,0,0
2,18.54,TERMINAL,12,8.0,1380.0,7.8,0.0,0,0
3,26.94,Gate A,2,2.0,360.0,7.8,0.5,1,0
3,26.94,Security,2,2.0,300.0,7.8,0.5,1,0
3,26.94,Arrivals Hall,2,2.0,360.0,7.8,0.5,1,0
3,26.94,Departures,2,2.0,360.0,7.8,0.5,1,0
3,26.94,TERMINAL,8,8.0,1380.0,7.8,0.5,4,0
4,35.95,Gate A,7,4.0,420.0,14.9,0.29,2,0
4,35.95,Security,5,4.0,360.0,14.9,0.4,2,0
4,35.95,Arrivals Hall,7,4.0,420.0,14.9,0.29,2,0
4,35.95,Departures,7,4.0,420.0,14.9,0.29,2,0
4,35.95,TERMINAL,26,16.0,1620.0,14.9,0.31,8,0
0,4.18,Gate A,3,0.0,240.0,0.0,0.33,1,0
0,4.18,Security,3,0.0,180.0,0.0,0.33,1,0
0,4.18,Arrivals Hall,3,0.0,240.0,0.0,0.33,1,0
0,4.18,Departures,3,0.0,240.0,0.0,0.33,1,0
0,4.18,TERMINAL,12,0.0,900.0,0.0,0.33,4,0
1,10.74,Gate A,2,2.0,300.0,5.8,0.5,1,0
1,10.74,Security,2,2.0,240.0,5.8,0.5,1,0
1,10.74,Arrivals Hall,2,2.0,300.0,5.8,0.5,1,0
1,10.74,Departures,2,2.0,300.0,5.8,0.5,1,0
1,10.74,TERMINAL,8,8.0,1140.0,5.8,0.5,4,0
2,16.7,Gate A,2,2.0,360.0,5.8,0.0,0,0
2,16.7,Security,2,2.0,300.0,5.8,0.0,0,0
2,16.7,Arrivals Hall,2,2.0,360.0,5.8,0.0,0,0
2,16.7,Departures,2,2.0,360.0,5.8,0.0,0,0
2,16.7,TERMINAL,8,8.0,1380.0,5.8,0.0,0,0
3,22.76,Gate A,1,3.0,360.0,10.4,2.0,2,0
3,22.76,Security,1,3.0,300.0,10.4,2.0,2,0
3,22.76,Arrivals Hall,1,3.0,360.0,10.4,2.0,2,0
3,22.76,Departures,1,3.0,360.0,10.4,2.0,2,0
3,22.76,TERMINAL,4,12.0,1380.0,10.4,2.0,8,0
4,28.69,Gate A,4,4.0,420.0,10.8,0.25,1,0
4,28.69,Security,4,4.0,360.0,10.8,0.25,1,0
4,28.69,Arrivals Hall,4,4.0,420.0,10.8,0.25,1,0
4,28.69,Departures,4,4.0,420.0,10.8,0.25,1,0
4,28.69,TERMINAL,16,16.0,1620.0,10.8,0.25,4,0
5,34.82,Gate A,5,4.0,420.0,10.8,0.2,1,0
5,34.82,Security,4,4.0,360.0,10.8,0.25,1,0
5,34.82,Arrivals Hall,5,4.0,420.0,10.8,0.2,1,0
5,34.82,Departures,5,4.0,420.0,10.8,0.2,1,0
5,34.82,TERMINAL,19,16.0,1620.0,10.8,0.21,4,0
6,40.78,Gate A,5,4.0,420.0,10.8,0.2,1,0
6,40.78,Security,5,4.0,360.0,10.8,0.2,1,0
6,40.78,Arrivals Hall,5,4.0,420.0,10.8,0.2,1,0
6,40.78,Departures,5,4.0,420.0,10.8,0.2,1,0
6,40.78,TERMINAL,20,16.0,1620.0,10.8,0.2,4,0
